KDSATKER,KODE_PROGRAM,KODE_KEGIATAN,KODE_OUTPUT,KDIB,VOLUME_OUTPUT,KODE_SUBOUTPUT,VOLUME_SUBOUTPUT,KODE_KOMPONEN,KODE_SUBKOMPONEN,URAIAN_SUBKOMPONEN,KODE_AKUN,KODE_JENIS_BEBAN,KODE_CARA_TARIK,KODE_JENIS_BANTUAN,KODE_REGISTER,HEADER1,HEADER2,KODE_ITEM,NOMOR_ITEM,CONS_ITEM,URAIAN_ITEM,SUMBER_DANA,VOL_KEG_1,SAT_KEG_1,VOL_KEG_2,SAT_KEG_2,VOL_KEG_3,SAT_KEG_3,VOL_KEG_4,SAT_KEG_4,VOLKEG,SATKEG,HARGASAT,TOTAL,KODE_BLOKIR,NILAI_BLOKIR,KODE_STS_HISTORY,POK_NILAI_1,POK_NILAI_2,POK_NILAI_3,POK_NILAI_4,POK_NILAI_5,POK_NILAI_6,POK_NILAI_7,POK_NILAI_8,POK_NILAI_9,POK_NILAI_10,POK_NILAI_11,POK_NILAI_12
634146,DL,2376,FAN,00,1,ZZ1,1,ZZ1,A,Pemenuhan prioritas direktif presiden,522191,A,0,A0,,0,0,1,0,277,Pemenuhan Prioritas Direktif Presiden,A,0,,0,,0,,0,,1,pkt,2919141000,2919141000,,0,B01,243261000,243261000,243261000,243261000,243261000,243261000,243261000,243261000,243261000,243261000,243261000,243270000
634146,DL,2376,FAN,00,1,ZZ1,1,ZZ1,A,Pemenuhan prioritas direktif presiden,524111,A,0,A0,,0,0,1,0,279,214.677.000,A,0,,0,,0,,0,,1,pkt,214677000,214677000,,0,B01,17889000,17889000,17889000,17889000,17889000,17889000,17889000,17889000,17889000,17889000,17889000,17898000
634146,DL,2376,PDE,00,1,541,1,301,A,Penjaminan Mutu Politeknik KP Sorong,521219,A,0,A0,,0,0,1,0,1,Operasional Penjaminan Mutu,A,0,,0,,0,,0,,1,Tahun,3500000,3500000,,0,B01,0,0,0,164000,416000,416000,416000,416000,416000,416000,416000,424000
634146,DL,2376,PDI,00,1,545,1,301,A,Sertifikasi Dosen,521219,A,0,A0,,0,0,1,0,2,Pembiayaan Serdos ke PTPS,A,0,,0,,0,,0,,3,Org,700000,2100000,,0,B01,0,0,0,0,0,0,0,0,1200000,900000,0,0
634146,DL,2376,PDI,00,1,545,1,301,A,Sertifikasi Dosen,521219,A,0,A0,,0,0,2,1,3,Operasional Kegiatan,A,0,,0,,0,,0,,1,Keg,1400000,1400000,,0,B01,0,0,0,0,0,0,0,0,800000,600000,0,0
634146,DL,2376,SAC,00,247,811,247,302,E,Praktik Laut,521112,A,0,A0,,0,0,1,0,72,Pengadaan Bama ABK Aktif PAPUA  BARAT DAYA,A,12,Org,10,hr,0,,0,,120,OH,44000,5280000,,0,B01,440000,440000,440000,440000,440000,440000,440000,440000,440000,440000,440000,440000
634146,DL,2376,SAC,00,247,811,247,301,A,Pelantikan Peserta Didik Baru,521211,A,0,A0,,1,0,1,0,4,Latsarkarbang,A,0,,0,,0,,0,,0,,0,0,,0,B01,0,0,0,0,0,0,0,0,0,0,0,0
634146,DL,2376,SAC,00,247,811,247,301,A,Pelantikan Peserta Didik Baru,521211,A,0,A0,,0,0,2,1,5,Spanduk Latsar,A,0,,0,,0,,0,,48,M2,35000,1680000,,0,B01,0,0,0,0,0,0,11175,248329,1420496,0,0,0
634146,DL,2376,SAC,00,247,811,247,301,A,Pelantikan Peserta Didik Baru,521211,A,0,A0,,0,0,3,2,6,Makan Rapat Biasa PAPUA BARAT DAYA,A,6,Org,2,kali,5,Hr,0,,60,OK,62000,3720000,,0,B01,0,0,0,0,0,0,24744,549871,3145385,0,0,0
634146,DL,2376,SAC,00,247,811,247,301,A,Pelantikan Peserta Didik Baru,521211,A,0,A0,,0,0,4,3,7,Snack Rapat Biasa PAPUA BARAT DAYA,A,6,org,5,Hr,0,,0,,30,OK,28000,840000,,0,B01,0,0,0,0,0,0,5587,124165,710248,0,0,0
634146,DL,2376,SAC,00,247,811,247,301,A,Pelantikan Peserta Didik Baru,521211,A,0,A0,,1,0,5,4,8,MPAK,A,0,,0,,0,,0,,0,,0,0,,0,B01,0,0,0,0,0,0,0,0,0,0,0,0
634146,DL,2376,SAC,00,247,811,247,301,A,Pelantikan Peserta Didik Baru,521211,A,0,A0,,0,0,6,5,9,Makan Rapat Biasa PAPUA BARAT DAYA,A,5,Org,3,Hari,0,,0,,15,OK,62000,930000,,0,B01,0,0,0,0,0,0,6186,137468,786346,0,0,0
634146,DL,2376,SAC,00,247,811,247,301,A,Pelantikan Peserta Didik Baru,521211,A,0,A0,,0,0,7,6,10,Snack Rapat Biasa PAPUA BARAT DAYA,A,5,org,3,Hr,0,,0,,15,OK,28000,420000,,0,B01,0,0,0,0,0,0,2794,62082,355124,0,0,0
634146,DL,2376,SAC,00,247,811,247,302,G,Dies Natalis,521211,A,0,A0,,0,0,1,0,90,Makan Rapat Biasa PAPUA BARAT DAYA,A,50,ORG,1,Keg,0,,0,,50,OK,62000,3100000,,0,B01,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,262000
634146,DL,2376,SAC,00,247,811,247,302,H,Data Informasi Pendidikan,521211,A,0,A0,,0,0,1,0,92,Publikasi,A,0,,0,,0,,0,,10,BLn,420000,4200000,,0,B01,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000
634146,DL,2376,SAC,00,247,811,247,302,H,Data Informasi Pendidikan,521211,A,0,A0,,0,0,2,1,93,Spanduk,A,0,,0,,0,,0,,50,m2,35000,1750000,,0,B01,145000,145000,145000,145000,145000,145000,145000,145000,145000,145000,145000,155000
634146,DL,2376,SAC,00,247,811,247,302,I,WISUDA,521211,A,0,A0,,0,0,1,0,117,Cetak Undangan,A,0,,0,,0,,0,,1,Paket,712000,712000,,0,B01,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,63000
634146,DL,2376,SAC,00,247,811,247,302,I,WISUDA,521211,A,0,A0,,0,0,2,1,118,Ijazah Wisudawan,A,0,,0,,0,,0,,1,Paket,16625000,16625000,,0,B01,1385000,1385000,1385000,1385000,1385000,1385000,1385000,1385000,1385000,1385000,1385000,1390000
634146,DL,2376,SAC,00,247,811,247,302,I,WISUDA,521211,A,0,A0,,0,0,3,2,119,Map Ijazah,A,0,,0,,0,,0,,1,Paket,7980000,7980000,,0,B01,665000,665000,665000,665000,665000,665000,665000,665000,665000,665000,665000,665000
634146,DL,2376,SAC,00,247,811,247,302,I,WISUDA,521211,A,0,A0,,0,0,4,3,120,Makan Rapat Biasa PAPUA BARAT DAYA,A,0,,0,,0,,0,,100,OK,62000,6200000,,0,B01,516000,516000,516000,516000,516000,516000,516000,516000,516000,516000,516000,524000
634146,DL,2376,SAC,00,247,811,247,302,I,WISUDA,521211,A,0,A0,,0,0,5,4,121,Makan Rapat Biasa PAPUA BARAT DAYA,A,0,,0,,0,,0,,100,OK,62000,6200000,,0,B01,516000,516000,516000,516000,516000,516000,516000,516000,516000,516000,516000,524000
634146,DL,2376,SAC,00,247,811,247,302,I,WISUDA,521211,A,0,A0,,0,0,6,5,122,Snack Rapat Biasa PAPUA BARAT DAYA,A,0,,0,,0,,0,,100,OK,28000,2800000,,0,B01,233000,233000,233000,233000,233000,233000,233000,233000,233000,233000,233000,237000
634146,DL,2376,SAC,00,247,811,247,303,A,Sertifikasi ANKAPIN/ATKAPIN I,521211,A,0,A0,,0,0,1,0,125,Bahan Makan Penguji,A,0,,0,,0,,0,,1,paket,1500000,1500000,,0,B01,181065,0,181065,0,181065,51172,181065,0,181065,181065,181065,181373
634146,DL,2376,SAC,00,247,811,247,303,B,MPM,521211,A,0,A0,,0,0,1,0,127,Makan Rapat Biasa PAPUA BARAT DAYA,A,5,Org,5,HR,0,,0,,25,OK,31000,775000,,0,B01,93550,0,93550,0,93550,26439,93550,0,93550,93550,93550,93711
634146,DL,2376,SAC,00,247,811,247,303,C,CBIB,521211,A,0,A0,,0,0,1,0,128,Makan Rapat Biasa PAPUA BARAT DAYA,A,5,ORG,5,HR,0,,0,,25,OK,25000,625000,,0,B01,75444,0,75444,0,75444,21322,75444,0,75444,75444,75444,75570
634146,DL,2376,SAC,00,247,811,247,303,F,CPPIB,521211,A,0,A0,,0,0,1,0,132,Makan Rapat Biasa PAPUA BARAT DAYA,A,0,,0,,0,,0,,10,Pkt,53100,531000,,0,B01,64097,0,64097,0,64097,18114,64097,0,64097,64097,64097,64207
634146,DL,2376,SAC,00,247,811,247,304,C,Fasilitasi Lulusan Pendidikan KP,521211,A,0,A0,,1,0,1,0,147,Bimbingan Karir dan Alumni,A,0,,0,,0,,0,,0,,0,0,,0,B01,0,0,0,0,0,0,0,0,0,0,0,0
634146,DL,2376,SAC,00,247,811,247,304,C,Fasilitasi Lulusan Pendidikan KP,521211,A,0,A0,,0,0,2,1,148,Makan Rapat Biasa PAPUA BARAT DAYA,A,15,Org,1,Kl,0,,0,,15,OK,31000,465000,,0,B01,0,47188,0,59631,0,59631,0,59631,59631,59631,59631,60026
634146,DL,2376,SAC,00,247,811,247,304,C,Fasilitasi Lulusan Pendidikan KP,521211,A,0,A0,,1,0,3,2,149,Bursa Kerja,A,0,,0,,0,,0,,0,,0,0,,0,B01,0,0,0,0,0,0,0,0,0,0,0,0
634146,DL,2376,SAC,00,247,811,247,304,C,Fasilitasi Lulusan Pendidikan KP,521211,A,0,A0,,0,0,4,3,150,ATK dan Bahan Cetak,A,0,,0,,0,,0,,1,Paket,1000000,1000000,,0,B01,0,101480,0,128239,0,128239,0,128239,128239,128239,128239,129086
634146,DL,2376,SAC,00,247,811,247,304,C,Fasilitasi Lulusan Pendidikan KP,521211,A,0,A0,,0,0,5,4,151,Banner,A,0,,0,,0,,0,,4,Buah,350000,1400000,,0,B01,0,142072,0,179534,0,179534,0,179534,179534,179534,179534,180724
634146,DL,2376,SAC,00,247,811,247,304,C,Fasilitasi Lulusan Pendidikan KP,521211,A,0,A0,,0,0,6,5,152,Makan Rapat Biasa PAPUA BARAT DAYA (Panitia),A,0,,0,,0,,0,,5,OK,31000,155000,,0,B01,0,15729,0,19877,0,19877,0,19877,19877,19877,19877,20009
634146,DL,2376,SAC,00,247,811,247,304,C,Fasilitasi Lulusan Pendidikan KP,521211,A,0,A0,,0,0,7,6,153,Makan Rapat Biasa PAPUA BARAT DAYA (Perwakilan Perusahaan),A,0,,0,,0,,0,,16,OK,31000,496000,,0,B01,0,50334,0,63606,0,63606,0,63606,63606,63606,63606,64030
634146,DL,2376,SAC,00,247,811,247,304,C,Fasilitasi Lulusan Pendidikan KP,521211,A,0,A0,,0,0,8,7,154,Konsumsi Alumni Pencari Kerja PAPUA BARAT DAYA,A,0,,0,,0,,0,,100,OK,25000,2500000,,0,B01,0,253700,0,320597,0,320597,0,320597,320597,320597,320597,322718
634146,DL,2376,SAC,00,247,811,247,302,H,Data Informasi Pendidikan,521213,A,0,A0,,1,0,1,0,94,Jurnal Bawal,A,0,,0,,0,,0,,0,,0,0,,0,B01,0,0,0,0,0,0,0,0,0,0,0,0
